"Date","Price","Open","High","Low","Vol.","Change %"
"09/18/2013","961.38","972.23","972.99","957.79","3.48B","-1.56%"
"09/17/2013","976.60","976.85","981.60","966.68","3.66B","-0.14%"
"09/16/2013","977.97","949.23","977.97","949.23","3.94B","3.87%"
"09/13/2013","941.52","933.47","942.38","928.26","2.87B","0.33%"
"09/12/2013","938.43","933.08","943.65","929.22","3.62B","0.03%"
"09/11/2013","938.14","946.12","953.32","922.52","3.82B","-0.29%"
"09/10/2013","940.90","906.81","940.90","906.70","5.33B","4.87%"
"09/09/2013","897.17","876.07","897.17","874.30","3.04B","3.51%"
"09/06/2013","866.78","862.17","866.78","851.14","2.49B","0.78%"
"09/05/2013","860.07","871.44","879.09","851.78","2.86B","-0.65%"
"09/04/2013","865.73","881.57","881.83","864.35","3.62B","-2.42%"
"09/03/2013","887.18","874.51","889.96","874.05","2.83B","1.82%"
"09/02/2013","871.35","895.81","898.80","862.17","2.37B","-2.68%"
"08/30/2013","895.36","870.96","895.36","869.29","3.30B","2.66%"
"08/29/2013","872.20","857.48","872.61","853.41","3.49B","2.21%"
"08/28/2013","853.33","818.71","856.15","803.51","3.78B","1.99%"
"08/27/2013","836.70","866.34","866.55","834.69","3.02B","-4.07%"
"08/26/2013","872.21","887.31","892.56","872.21","2.26B","-1.49%"
"08/23/2013","885.40","892.63","904.13","881.29","2.87B","-0.04%"
"08/22/2013","885.79","881.54","890.60","870.32","3.97B","-1.10%"
"08/21/2013","895.63","888.05","908.75","879.37","3.00B","1.15%"
"08/20/2013","885.49","900.52","901.27","856.49","3.88B","-3.27%"
"08/19/2013","915.41","967.96","968.49","914.75","2.74B","-6.35%"
"08/16/2013","977.48","995.87","995.87","977.48","2.38B","-2.87%"
"08/15/2013","1,006.36","1,006.78","1,007.34","1,001.62","1.96B","-0.50%"
"08/14/2013","1,011.43","1,001.64","1,011.43","998.54","2.61B","1.15%"
"08/13/2013","999.90","984.51","999.90","984.51","2.25B","1.55%"
"08/12/2013","984.67","992.44","993.75","979.36","1.90B","-1.09%"
"08/02/2013","995.57","998.72","1,002.20","990.73","1.77B","0.26%"
"08/01/2013","992.95","991.94","994.88","984.36","1.92B","0.34%"
"07/31/2013","989.56","994.84","997.48","979.35","1.83B","-0.04%"
"07/30/2013","990.00","987.38","996.94","986.37","1.42B","0.86%"
"07/29/2013","981.55","997.46","997.48","980.44","1.40B","-1.87%"
"07/26/2013","1,000.22","1,005.44","1,010.36","997.46","1.26B","-0.36%"
"07/25/2013","1,003.86","1,016.16","1,016.77","1,002.49","1.53B","-1.15%"
"07/24/2013","1,015.54","1,025.99","1,030.92","1,004.81","1.68B","-1.20%"
"07/23/2013","1,027.90","1,009.33","1,027.90","1,009.09","2.05B","2.35%"
"07/22/2013","1,004.31","1,020.46","1,021.79","1,004.31","1.58B","-1.40%"
"07/19/2013","1,018.52","1,015.48","1,023.56","1,014.30","1.77B","0.00%"
"07/18/2013","1,018.47","1,006.24","1,018.47","1,005.74","2.39B","1.03%"
"07/17/2013","1,008.13","1,002.02","1,008.20","998.59","2.77B","0.84%"
"07/16/2013","999.74","997.20","1,004.91","993.77","2.25B","0.15%"
"07/15/2013","998.21","999.62","999.81","984.09","1.74B","0.05%"
"07/12/2013","997.73","993.03","1,009.08","987.57","2.38B","0.77%"
"07/11/2013","990.13","965.91","995.84","965.91","3.15B","3.28%"
"07/10/2013","958.71","941.14","963.27","940.92","2.45B","2.18%"
"07/09/2013","938.22","952.55","957.67","938.22","1.86B","-0.65%"
"07/08/2013","944.32","980.05","980.43","944.32","1.75B","-4.31%"
"07/05/2013","986.84","992.47","998.23","981.86","1.50B","0.63%"
"07/04/2013","980.65","984.18","995.90","980.65","1.48B","0.22%"
"07/03/2013","978.48","1,011.42","1,012.07","978.48","1.77B","-3.66%"
"07/02/2013","1,015.64","1,036.72","1,037.55","1,014.28","1.35B","-1.27%"
"07/01/2013","1,028.67","1,022.42","1,038.84","1,019.74","1.34B","-1.07%"
"06/28/2013","1,039.84","1,015.88","1,039.84","1,015.62","2.56B","3.70%"
"06/27/2013","1,002.75","994.99","1,015.71","994.99","2.38B","2.41%"
"06/26/2013","979.20","952.97","988.88","948.90","2.51B","4.59%"
"06/25/2013","936.22","948.70","956.76","927.66","2.27B","-0.32%"
"06/24/2013","939.25","959.27","969.91","939.25","2.09B","-1.83%"
"06/21/2013","956.79","965.22","971.75","949.52","3.35B","-3.11%"
"06/20/2013","987.49","1,013.63","1,013.63","985.98","2.60B","-4.26%"
"06/19/2013","1,031.38","1,043.76","1,051.52","1,030.62","2.03B","-0.99%"
"06/18/2013","1,041.67","1,032.62","1,049.46","1,032.60","2.81B","1.44%"
"06/17/2013","1,026.93","1,023.53","1,036.02","1,022.62","2.00B","0.19%"
"06/14/2013","1,024.98","997.43","1,029.31","997.43","2.68B","3.93%"
"06/13/2013","986.25","991.49","1,002.39","974.11","3.09B","-2.18%"
"06/12/2013","1,008.20","974.77","1,008.20","959.12","4.05B","2.51%"
"06/11/2013","983.56","1,022.04","1,023.92","974.36","3.61B","-3.84%"
"06/10/2013","1,022.84","1,050.50","1,054.92","1,016.79","2.77B","-1.88%"
"06/07/2013","1,042.40","1,074.01","1,074.41","1,042.40","2.58B","-3.37%"
"06/05/2013","1,078.72","1,079.72","1,079.77","1,066.45","2.48B","-0.58%"
"06/04/2013","1,084.97","1,070.40","1,084.97","1,063.41","3.52B","1.38%"
"06/03/2013","1,070.23","1,088.82","1,089.46","1,067.74","3.71B","-2.08%"
"05/31/2013","1,093.01","1,113.25","1,116.41","1,093.01","5.47B","-1.68%"
"05/30/2013","1,111.69","1,125.74","1,125.74","1,107.65","2.91B","-1.78%"
"05/29/2013","1,131.87","1,130.29","1,138.98","1,119.84","3.48B","0.47%"
"05/28/2013","1,126.62","1,100.49","1,130.00","1,100.49","4.04B","2.04%"
"05/27/2013","1,104.07","1,121.02","1,122.36","1,101.83","2.75B","-1.75%"
"05/24/2013","1,123.77","1,118.72","1,128.83","1,118.41","2.73B","0.71%"
"05/23/2013","1,115.87","1,135.70","1,137.55","1,108.87","4.05B","-1.86%"
"05/22/2013","1,136.99","1,133.91","1,144.71","1,132.23","3.78B","0.27%"
"05/21/2013","1,133.97","1,143.28","1,149.79","1,127.00","3.67B","-0.56%"
"05/20/2013","1,140.33","1,128.10","1,147.38","1,128.10","3.56B","1.57%"
"05/17/2013","1,122.75","1,105.91","1,127.84","1,105.23","2.43B","1.49%"
"05/16/2013","1,106.23","1,108.82","1,114.10","1,106.07","2.64B","-0.19%"
"05/15/2013","1,108.36","1,109.24","1,113.53","1,106.37","2.13B","0.01%"
"05/14/2013","1,108.21","1,099.65","1,108.21","1,096.96","2.23B","0.65%"
"05/13/2013","1,101.07","1,111.99","1,112.07","1,094.99","2.13B","-1.08%"
"05/10/2013","1,113.11","1,110.44","1,116.78","1,107.73","2.73B","0.28%"
"05/08/2013","1,109.99","1,102.35","1,113.04","1,101.71","3.58B","0.70%"
"05/07/2013","1,102.22","1,090.71","1,102.51","1,088.91","2.99B","1.05%"
"05/06/2013","1,090.80","1,077.80","1,092.52","1,077.80","2.04B","1.42%"
"05/03/2013","1,075.57","1,091.95","1,095.22","1,070.46","2.64B","-1.56%"
"05/02/2013","1,092.59","1,105.79","1,109.73","1,092.32","3.01B","-1.52%"
"05/01/2013","1,109.42","1,100.47","1,110.37","1,098.11","3.48B","0.46%"
"04/30/2013","1,104.31","1,094.97","1,104.31","1,089.64","2.71B","0.88%"
"04/29/2013","1,094.73","1,090.07","1,094.73","1,089.05","2.27B","0.63%"
"04/26/2013","1,087.90","1,092.63","1,095.96","1,087.90","2.68B","-0.49%"
"04/25/2013","1,093.29","1,094.37","1,097.62","1,085.00","3.63B","-0.33%"
"04/24/2013","1,096.90","1,092.62","1,096.90","1,090.12","2.29B","0.88%"
"04/23/2013","1,087.37","1,093.29","1,093.79","1,086.19","2.33B","-0.53%"
"04/22/2013","1,093.14","1,095.02","1,100.55","1,087.14","2.59B","-0.03%"
"04/19/2013","1,093.44","1,094.36","1,099.79","1,090.32","3.55B","-0.29%"
"04/18/2013","1,096.57","1,088.82","1,096.91","1,087.10","3.30B","0.29%"
"04/17/2013","1,093.43","1,084.65","1,094.23","1,083.72","2.41B","1.10%"
"04/16/2013","1,081.51","1,063.84","1,081.51","1,058.45","2.53B","1.31%"
"04/15/2013","1,067.52","1,073.83","1,074.50","1,065.60","1.73B","-0.98%"
"04/12/2013","1,078.07","1,076.06","1,081.04","1,075.69","2.49B","0.23%"
"04/11/2013","1,075.61","1,065.83","1,075.61","1,065.32","2.55B","1.17%"
"04/10/2013","1,063.13","1,071.94","1,072.26","1,060.09","2.46B","-0.58%"
